system,id,备注,url,风险等级,备注,
mis_beatles,161,补偿信息,upload.mis.didialift.com/admin/cuscompensation/showlist,1,列表页有手机号（5月31日11点上线脱敏，仍有部分用户可以直接看到电话号）,
mis_beatles,162,补偿信息,mis.didialift.com/admin/cuscompensation/showlist,1,,
mis_beatles,163,发送短信,upload.mis.didialift.com/admin/sms/mobile2uid,0,白名单,
wave,164,租赁公司管理平台-司机订单详情,/app/order/orderdetail,3,,
wave,165,出租车司机诊断-异常司机信息,/dc/driversurvey/missstandard,1,,
wave,166,出租车司机诊断-出勤异常的司机数据,/dc/driversurvey/record,1,,
wave,167,出租车司机档案-司机基础信息详情,/app/record/driverdetail,3,,
wave,168,未知,/app/common/desensitisation,-1,,
wave,169,,/api/unstandard/driverlist,-1,7.2,
wave,170,,/api/online/driverlist,-1,7.2,
wave,171,,/api/monitor/driverlist,-1,7.2,
wave,172,,/api/flow/driverlist,-1,7.2,
wave,173,,/api/filtering/result,-1,7.2,
wave,174,,/app/position/index,-1,7.2,
wave,175,,/app/sidebar/tabs,-1,7.2,
wave,176,,/app/user/userinfo,-1,7.2,
wave,177,,/app/record/drivergeneral,-1,7.2,
wave,178,,/app/orgdriver/driverbindlists,-1,7.2,
wave,179,,/api/driver/monitor,-1,7.2,
wave,180,,/app/order/orderlbs,-1,7.2,
